Brand,Dosage,Price,BrandName,DosageValue,DosageUnit,Form,Uses,Packaging,Composition,TherapeuticClass,Considerations,Contraindications
ABIP 15 MG,15.0 MG,268.0,ABIP,15.0,MG,Film-coated tablet [p],Aripiprazole is indicated in the treatment of schizophrenia in adults and adolescents aged 15 years or more. ARIPIPRAZOLE is indicated in the treatment of moderate to severe manic episodes of type I bipolar disorders and in the prevention of recurrences of manic episodes in adults having presented episodes with manic predominance and for which the manic episodes responded to treatment with aripiprazole. Aripiprazole is indicated in the treatment of moderate to severe manic episodes of type I bipolar disorders in adolescents aged 13 or over for a duration of up to 12 weeks. Treatment of moderate to severe manic episodes of type I bipolar disorders in adolescents aged 13 years or more,Box of 20,Aripiprazole,Atypical neuroleptic,,
ABIRANAT 250 MG,250.0 MG,10411.0,ABIRANAT,250.0,MG,Compressed Tablet,,Box of a 120 bottle,Abirate,Endocrin therapy,,
ABIRANAT 250 MG,250.0 MG,10411.0,ABIRANAT,250.0,MG,Compressed Tablet,,Box of a 120 bottle,Abirate,Other hormonal antagonists and related agents,,
ABIRATERONE GT 250 MG,250.0 MG,10411.0,ABIRATERONE GT,250.0,MG,Compressed Tablet,"Indicated in association with prednisone or prednisolone in: - The treatment of metastatic cancer of the Hormon -sensitive prostate (MHSPC) at high risk newly diagnosed in adult men, in combination with treatment with androgen abolition (ADT). - The treatment of metastatic cancer of the castration -resistant prostate (MCRPC) in asymptomatic or little symptomatic adult men, after failure of treatment by androgen suppression and for which chemotherapy is not yet clinically indicated. - Treatment of metastatic cancer of the castration resistant prostate (MCRPC) in adult men whose disease has progressed during or after chemotherapy based on doctaxel.",Box of 120,Abiraterone,Antineoplasics,,
ABIRATERONE GT 250 MG,250.0 MG,10411.0,ABIRATERONE GT,250.0,MG,Compressed Tablet,"Indicated in association with prednisone or prednisolone in: - The treatment of metastatic cancer of the Hormon -sensitive prostate (MHSPC) at high risk newly diagnosed in adult men, in combination with treatment with androgen abolition (ADT). - The treatment of metastatic cancer of the castration -resistant prostate (MCRPC) in asymptomatic or little symptomatic adult men, after failure of treatment by androgen suppression and for which chemotherapy is not yet clinically indicated. - Treatment of metastatic cancer of the castration resistant prostate (MCRPC) in adult men whose disease has progressed during or after chemotherapy based on doctaxel.",Box of 120,Abiraterone,Androgens biosynthesis inhibitor (CYP17A1 inhibitor),,
ABSTRAL 100 µG,100.0 µG,876.0,ABSTRAL,100.0,µG,SUBLINGUAL tablet [p] [ss],Treatment of paroxysmal pain in adult patients using morphine to treat chronic cancer origin. Painful paroxysmal access is a temporary exacerbation of chronic pain also controlled by background treatment.,Box of 10,Fentanyl,Opioid analgesics,"Patients and nursing staff should be informed that abstral contains an active substance at a dose that can be fatal for a child. Consequently, all tablets must be kept out of children's reach and sight. Due to the potentially serious adverse effects of morphine and abstract treatments, patients and nursing staff must be informed of the importance of the correct abstract and informed of the measures to be taken in the presence of symptoms of overdose. Before the introduction of abstine, the long -lasting morphine treatment used to control chronic pain must have been stabilized. ABSTRAL has not been studied in patients with oral lesions or a mucosity. A risk of increasing systemic exposure to the drug may exist in these patients and particular prudence is therefore recommended during titration. The suspension of treatment with ABSTRAL should not lead to a significant effect, but the possible symptoms of withdrawal include: anxiety, tremors, sweats, pallor, nausea and vomiting. As with the other morphine, in the event of insufficient control of pain in response to a fentanyl dose increase, the possibility of hyperalgia induced by morphine is to be considered. A decrease in the fentanyl dose, a suspension of the treatment or a re -evaluation of the treatment is recommended. Additional, dependence an addiction and physical dependence and/or psychological are likely to appear during the repeated administration of morphines such as fentanyl. Iatrogenic addiction to opioids is known. Respiratory depression like all morphine, ABSTRAL is associated with a risk of clinically significant respiratory depression. The titration phase must be carried out with particular caution in patients with chronic obstructive broncho-pneumopathy or another pathology (e.g. serious myasthenia) predisposing them to respiratory depression, due to the increase in the risk of respiratory depression which can cause respiratory stop. Increase in intracranial pressure, disorders of abstine consciousness should only be administered with extreme caution to patients likely to present a particular sensitivity to the brain effects of hypercapnia, such as patients with signs of intracranial hypertension, consciousness disorders, coma or brain tumors. The morphine can mask clinical evolution in patients with cranial trauma, they should only be used in this context in the event of absolute necessity. Cardiac pathology Fentanyl can cause bradycardia. It should be used with caution in patients with a history of bradyarhythmia or pre -existing bradyarhythmia. Elderly patients The data obtained following the intravenous administration of Fentanyl suggest the possibility of a reduction in its clearance and an increase in its half-life in elderly patients, who could be more sensitive to active substance than younger patients. Elderly, chatter or weakened patients must be subject to careful monitoring in the event of signs of fentanyl toxicity, resulting in a dose reduction if necessary. Renal or abstine renal or hepatic insufficiency should be administered with caution in patients with liver or renal disorders, especially during the titration phase. The use of abstracts in liver or renal insufficient patients could increase the bioavailability of fentanyl and reduce its systemic clearance, which could result in an increase and extension of morphine effects. Particular caution should be provided to the treatment of hypovolemic or hypotent patients. Serotonergic syndrome It is advisable to be cautious when Bestral is administered in combination with drugs that affect serotonergic neurotransmission systems. A serotonergic syndrome, capable of bringing into play the vital prognosis, can develop during the concomitant use of serotonergic drugs such as selective inhibitors of serotonin reuptake (SSRI) and inhibitors of the reuptake of serotonin and noradrenaline (IRSN), as well as with drugs that alter metabolism serotonin (including monoamine oxidase inhibitors [MAOO]). This can happen in the recommended doses. Serotonergic syndrome can be accompanied by mental state alterations (e.g. agitation, hallucinations, coma), instability of the autonomous nervous system (eg tachycardia, labile blood pressure, hyperthermia), neuromuscular disorders (eg hyperreflexia, incoordination, rigidity) Gastrointestinal (eg nausea, vomiting, diarrhea). In the event of the suspicion of serotonergic syndrome, the treatment should be stopped.","• Hypersensitivity to active substance or one of the excipients mentioned in the composition section. • Patients not treated with a morphine background treatment, due to an increased risk of respiratory depression. • Severe respiratory depression or severe obstructive pulmonary pathologies. • Treatment of acute pain other than painful paroxysics."
ABSTRAL 200 µG,200.0 µG,876.0,ABSTRAL,200.0,µG,SUBLINGUAL tablet [p] [ss],In adults Durogesic is indicated in the treatment of severe chronic pain that requires continuously long -term opioid administration. In children long -term treatment of severe chronic pain in children from 2 years receiving treatment with opioids.,Box of 10,Fentanyl,Opioid analgesics,,
ABSTRAL 400 µG,400.0 µG,876.0,ABSTRAL,400.0,µG,SUBLINGUAL tablet [p] [ss],Treatment of paroxysmal pain in adult patients using morphine to treat chronic cancer origin. Painful paroxysmal access is a temporary exacerbation of chronic pain also controlled by background treatment.,Box of 10,Fentanyl,Opioid analgesics,"Patients and nursing staff should be informed that abstral contains an active substance at a dose that can be fatal for a child. Consequently, all tablets must be kept out of children's reach and sight. Due to the potentially serious adverse effects of morphine and abstract treatments, patients and nursing staff must be informed of the importance of the correct abstract and informed of the measures to be taken in the presence of symptoms of overdose. Before the introduction of abstine, the long -lasting morphine treatment used to control chronic pain must have been stabilized. ABSTRAL has not been studied in patients with oral lesions or a mucosity. A risk of increasing systemic exposure to the drug may exist in these patients and particular prudence is therefore recommended during titration. The suspension of treatment with ABSTRAL should not lead to a significant effect, but the possible symptoms of withdrawal include: anxiety, tremors, sweats, pallor, nausea and vomiting. As with the other morphine, in the event of insufficient control of pain in response to a fentanyl dose increase, the possibility of hyperalgia induced by morphine is to be considered. A decrease in the fentanyl dose, a suspension of the treatment or a re -evaluation of the treatment is recommended. Additional, dependence an addiction and physical dependence and/or psychological are likely to appear during the repeated administration of morphines such as fentanyl. Iatrogenic addiction to opioids is known. Respiratory depression like all morphine, ABSTRAL is associated with a risk of clinically significant respiratory depression. The titration phase must be carried out with particular caution in patients with chronic obstructive broncho-pneumopathy or another pathology (e.g. serious myasthenia) predisposing them to respiratory depression, due to the increase in the risk of respiratory depression which can cause respiratory stop. Increase in intracranial pressure, disorders of abstine consciousness should only be administered with extreme caution to patients likely to present a particular sensitivity to the brain effects of hypercapnia, such as patients with signs of intracranial hypertension, consciousness disorders, coma or brain tumors. The morphine can mask clinical evolution in patients with cranial trauma, they should only be used in this context in the event of absolute necessity. Cardiac pathology Fentanyl can cause bradycardia. It should be used with caution in patients with a history of bradyarhythmia or pre -existing bradyarhythmia. Elderly patients The data obtained following the intravenous administration of Fentanyl suggest the possibility of a reduction in its clearance and an increase in its half-life in elderly patients, who could be more sensitive to active substance than younger patients. Elderly, chatter or weakened patients must be subject to careful monitoring in the event of signs of fentanyl toxicity, resulting in a dose reduction if necessary. Renal or abstine renal or hepatic insufficiency should be administered with caution in patients with liver or renal disorders, especially during the titration phase. The use of abstracts in liver or renal insufficient patients could increase the bioavailability of fentanyl and reduce its systemic clearance, which could result in an increase and extension of morphine effects. Particular caution should be provided to the treatment of hypovolemic or hypotent patients. Serotonergic syndrome It is advisable to be cautious when Bestral is administered in combination with drugs that affect serotonergic neurotransmission systems. A serotonergic syndrome, capable of bringing into play the vital prognosis, can develop during the concomitant use of serotonergic drugs such as selective inhibitors of serotonin reuptake (SSRI) and inhibitors of the reuptake of serotonin and noradrenaline (IRSN), as well as with drugs that alter metabolism serotonin (including monoamine oxidase inhibitors [MAOO]). This can happen in the recommended doses. Serotonergic syndrome can be accompanied by mental state alterations (e.g. agitation, hallucinations, coma), instability of the autonomous nervous system (eg tachycardia, labile blood pressure, hyperthermia), neuromuscular disorders (eg hyperreflexia, incoordination, rigidity) Gastrointestinal (eg nausea, vomiting, diarrhea). In the event of the suspicion of serotonergic syndrome, the treatment should be stopped.","• Hypersensitivity to active substance or one of the excipients mentioned in the composition section. • Patients not treated with a morphine background treatment, due to an increased risk of respiratory depression. • Severe respiratory depression or severe obstructive pulmonary pathologies. • Treatment of acute pain other than painful paroxysics."
ACARD 50 MG,50.0 MG,77.2,ACARD,50.0,MG,Film-coated tablet,"Hypertension Losartan is indicated for the treatment of essential hypertension. Hypertension with left ventricular hypertrophy Reduction of the risk of stroke in patients hypertensive with left ventricular hypertrophy Light to moderate heart failure, normally in combination with diuretics and digitalics, when treatment with ECA inhibitors due to specific side effects of ECA inhibitors (Toux) not. Side effects that appeared following treatment with ECA inhibitors and due to a general influence on the renin-angiotensin-aldosterone system (e.g. progressive renal insufficiency, hyperkalemia) do not constitute an indication for Losartan. Nephropathy in type 2 diabetics for the treatment of diabetic nephropathy in type 2 diabetics with hypertension with high creatinine and proteinuria (urinary/creatinine albumin ≥300 mg/g).",Box of 28,Losartan,Angiotensin II receptor antagonist,,
ACCUPRIL 20 MG,20.0 MG,70.1,ACCUPRIL,20.0,MG,Sarbed coated tablet,- high blood pressure; - Congestive heart failure.,28.0 box,Quinapril,Antihypertensive of the family of inhibitors of the angiotensin conversion enzyme,,
